cvegeo,estado,municipio,n_estab,empleo,comercio,servicios,industria,alimentos,resiliencia,altas_recientes,indicadoras
32016,Zacatecas,General Pánfilo Natera,793,3710,404,226,84,79,0.843,12,0
32017,Zacatecas,Guadalupe,9946,62120,4144,3512,1027,1263,0.886,211,1
32018,Zacatecas,Huanusco,153,615,48,53,29,23,0.96,3,0
32019,Zacatecas,Jalpa,1520,7207,653,523,132,212,0.878,16,0
32020,Zacatecas,Jerez,4247,19785,1739,1423,581,504,0.907,66,0
32021,Zacatecas,Jiménez del Teul,132,710,64,43,16,9,0.833,2,0
32022,Zacatecas,Juan Aldama,1458,6410,651,470,141,196,0.881,14,0
32023,Zacatecas,Juchipila,876,3492,402,300,65,109,0.849,6,0
32024,Zacatecas,Loreto,2646,10999,1290,832,179,345,0.838,22,0
32025,Zacatecas,Luis Moya,552,2134,265,149,63,75,0.883,6,0
32026,Zacatecas,Mazapil,168,2848,69,47,20,32,0.931,5,0
32027,Zacatecas,Melchor Ocampo,59,308,22,30,2,5,0.747,0,0
32028,Zacatecas,Mezquital del Oro,117,443,54,31,10,22,0.89,2,0
32029,Zacatecas,Miguel Auza,1261,6242,543,382,147,189,0.909,14,0
32030,Zacatecas,Momax,169,755,52,60,25,32,0.958,1,0
32031,Zacatecas,Monte Escobedo,400,1657,143,150,49,58,0.918,5,0
32032,Zacatecas,Morelos,686,7160,293,227,80,86,0.895,15,0
32033,Zacatecas,Moyahua de Estrada,191,945,71,69,22,29,0.917,2,0
32034,Zacatecas,Nochistlán de Mejía,1795,7407,788,563,223,221,0.896,12,0
32035,Zacatecas,Noria de Ángeles,122,612,42,59,8,13,0.819,2,0
32036,Zacatecas,Ojocaliente,1906,8542,934,586,138,248,0.842,21,0
32037,Zacatecas,Pánuco,555,2084,262,169,89,35,0.854,11,0
32038,Zacatecas,Pinos,915,4037,448,261,84,122,0.862,11,0
32039,Zacatecas,Río Grande,3399,16416,1520,1119,348,412,0.876,28,0
32040,Zacatecas,Sain Alto,530,1978,253,165,64,48,0.858,4,0
32041,Zacatecas,El Salvador,67,255,30,24,9,4,0.841,1,0
32042,Zacatecas,Sombrerete,2434,12349,1165,764,245,260,0.856,16,0
32043,Zacatecas,Susticacán,54,241,15,23,10,6,0.92,0,0
32044,Zacatecas,Tabasco,921,4887,397,303,102,119,0.892,11,0
32045,Zacatecas,Tepechitlán,495,1989,208,161,57,69,0.904,4,0
32046,Zacatecas,Tepetongo,168,803,69,56,20,23,0.907,3,0
32047,Zacatecas,Teúl de González Ortega,387,1659,146,141,44,56,0.911,7,0
32048,Zacatecas,Tlaltenango de Sánchez Román,2073,9294,920,659,205,289,0.886,23,0
32049,Zacatecas,Valparaíso,1496,6420,644,511,179,162,0.883,18,0
32050,Zacatecas,Vetagrande,256,1310,97,96,30,33,0.902,7,0
32051,Zacatecas,Villa de Cos,1342,5282,688,384,117,153,0.837,15,0
32052,Zacatecas,Villa García,605,2393,270,166,93,76,0.911,1,0
32053,Zacatecas,Villa González Ortega,548,2195,264,167,53,64,0.859,5,0
32054,Zacatecas,Villa Hidalgo,439,1695,242,122,31,44,0.795,2,0
32055,Zacatecas,Villanueva,1720,7575,754,486,245,235,0.915,10,0
32056,Zacatecas,Zacatecas,9465,71292,3799,3479,832,1355,0.885,212,0
32057,Zacatecas,Trancoso,887,3614,446,243,81,117,0.856,12,0
32058,Zacatecas,Santa María de la Paz,192,763,92,65,16,19,0.833,0,0
15001,México,Acambay de Ruíz Castañeda,1878,8283,835,421,452,170,0.906,18,0
15002,México,Acolman,9199,41044,4757,2442,1058,942,0.848,97,0
15003,México,Aculco,788,3969,434,180,87,87,0.831,12,0
15004,México,Almoloya de Alquisiras,635,2487,358,156,41,80,0.798,5,0
15005,México,Almoloya de Juárez,3882,16510,2030,1009,464,379,0.844,29,0
15006,México,Almoloya del Río,1168,4253,330,178,595,65,0.828,4,0
15007,México,Amanalco,407,2098,197,99,65,46,0.89,4,0
15008,México,Amatepec,782,3334,399,210,79,94,0.853,8,0
15009,México,Amecameca,3343,15154,1807,918,274,344,0.813,29,0
15010,México,Apaxco,2005,10897,955,514,258,278,0.894,18,0
15011,México,Atenco,3236,12627,1780,775,411,270,0.823,14,0
15012,México,Atizapán,1027,5015,369,233,321,104,0.938,9,0
15013,México,Atizapán de Zaragoza,22655,131090,10954,6851,1998,2852,0.857,376,2
15014,México,Atlacomulco,7585,45912,4223,2013,719,630,0.799,101,0
15015,México,Atlautla,1709,6593,950,364,233,162,0.83,31,0
15016,México,Axapusco,1398,6045,700,357,153,188,0.871,8,1
15017,México,Ayapango,286,1299,144,75,25,42,0.859,3,0
15018,México,Calimaya,2591,10600,1365,650,325,251,0.845,33,0
15019,México,Capulhuac,3076,12755,1126,668,255,1027,0.918,15,0
15020,México,Coacalco de Berriozábal,11554,64959,5464,3700,769,1621,0.847,205,0
15021,México,Coatepec Harinas,1223,5467,599,339,87,198,0.857,18,0
15022,México,Cocotitlán,660,2627,412,154,50,44,0.728,5,0
15023,México,Coyotepec,2447,8936,1356,604,263,224,0.816,21,0
15024,México,Cuautitlán,8301,61701,4077,2447,700,1077,0.853,199,0
15025,México,Chalco,21894,94334,12207,5603,1884,2200,0.805,202,0
15026,México,Chapa de Mota,980,3766,533,220,132,95,0.839,6,0
15027,México,Chapultepec,572,2444,330,144,49,49,0.783,9,0
15028,México,Chiautla,1464,6703,690,382,215,177,0.896,10,0
15029,México,Chicoloapan,9550,39613,5260,2548,751,991,0.805,94,0
15030,México,Chiconcuac,4438,14950,3130,539,472,297,0.665,25,0
15031,México,Chimalhuacán,37176,136123,21590,8623,3297,3666,0.792,344,1
15032,México,Donato Guerra,719,2694,392,125,131,71,0.847,3,0
15033,México,Ecatepec de Morelos,90374,415760,46333,25881,8177,9983,0.838,808,1
15034,México,Ecatzingo,458,1873,281,92,51,34,0.764,4,0
15035,México,Huehuetoca,5883,31875,3185,1565,504,629,0.818,81,0
15036,México,Hueypoxtla,3000,11636,1625,681,380,314,0.842,18,0
15037,México,Huixquilucan,10551,66797,5195,3419,802,1135,0.829,196,1
15038,México,Isidro Fabela,400,1605,196,112,33,59,0.861,2,0
15039,México,Ixtapaluca,25610,110252,13628,6860,2141,2981,0.827,215,2
15040,México,Ixtapan de la Sal,2200,10920,1027,677,145,351,0.859,15,0
15041,México,Ixtapan del Oro,119,664,59,35,13,12,0.852,1,0
15042,México,Ixtlahuaca,8555,35783,4369,2169,1295,722,0.855,40,0
15043,México,Xalatlaco,1351,5225,671,271,208,201,0.895,5,0
15044,México,Jaltenco,1327,5396,660,353,186,128,0.866,7,0
15045,México,Jilotepec,3241,19575,1437,1117,325,362,0.868,46,0
15046,México,Jilotzingo,645,3226,340,173,56,76,0.833,12,0
15047,México,Jiquipilco,983,3950,523,254,116,90,0.834,10,0
15048,México,Jocotitlán,2847,13850,1413,755,458,221,0.86,20,0
15049,México,Joquicingo,758,3287,413,199,78,68,0.817,7,0
15050,México,Juchitepec,1533,5844,905,337,139,152,0.787,14,0
15051,México,Lerma,8426,85344,4323,2050,1251,802,0.861,99,0
15052,México,Malinalco,2031,7984,959,419,268,385,0.911,9,0
15053,México,Melchor Ocampo,3269,12818,1708,905,277,379,0.832,24,1
15054,México,Metepec,14422,94532,5790,5331,1270,2031,0.883,287,2
15055,México,Mexicaltzingo,1122,4681,508,278,203,133,0.914,9,0
15056,México,Morelos,1485,5882,697,345,329,114,0.884,18,0
15057,México,Naucalpan de Juárez,36539,269961,17752,11322,2954,4511,0.848,858,1
15058,México,Nezahualcóyotl,55744,228078,27675,16636,4843,6590,0.846,422,2
15059,México,Nextlalpan,2201,8937,1293,455,268,185,0.796,21,0
15060,México,Nicolás Romero,19654,79975,10575,5267,1626,2186,0.82,191,0
15061,México,Nopaltepec,928,3911,428,200,166,134,0.92,5,0
15062,México,Ocoyoacac,4749,24533,2182,1103,510,954,0.908,46,0
15063,México,Ocuilan,1087,3865,496,267,107,217,0.904,13,0
15064,México,El Oro,969,5119,421,277,143,128,0.916,18,0
15065,México,Otumba,2157,8919,1128,568,233,228,0.843,27,0
15066,México,Otzoloapan,202,988,98,78,13,13,0.773,2,0
15067,México,Otzolotepec,3301,12251,1588,738,684,291,0.885,27,0
15068,México,Ozumba,2064,8467,1078,556,206,224,0.839,16,0
15069,México,Papalotla,355,1723,154,99,48,54,0.92,3,0
15070,México,La Paz,16914,79617,9028,4254,1619,2013,0.837,152,1
15071,México,Polotitlán,662,3705,308,192,76,86,0.886,14,0
15072,México,Rayón,938,5299,437,217,190,94,0.901,4,0
15073,México,San Antonio la Isla,1709,8079,837,352,363,157,0.883,15,0
15074,México,San Felipe del Progreso,4557,17090,2811,999,423,324,0.75,29,0
15075,México,San Martín de las Pirámides,1563,7192,671,413,261,218,0.929,15,0
15076,México,San Mateo Atenco,8814,42091,5123,1917,912,862,0.8,123,0
15077,México,San Simón de Guerrero,128,679,65,43,9,11,0.799,2,0
15078,México,Santo Tomás,193,862,96,36,20,41,0.883,2,0
15079,México,Soyaniquilpan de Juárez,548,3144,235,158,71,84,0.919,9,0
15080,México,Sultepec,537,2444,262,146,46,83,0.868,3,0
15081,México,Tecámac,21582,98879,11259,6023,1659,2641,0.829,265,0
15082,México,Tejupilco,3886,17465,1956,1088,313,529,0.849,24,0
15083,México,Temamatla,480,1897,270,114,40,56,0.81,2,0
15084,México,Temascalapa,2367,9152,1323,571,241,232,0.814,15,0
15085,México,Temascalcingo,2957,12243,1223,664,867,203,0.897,19,0
15086,México,Temascaltepec,431,2580,222,111,39,59,0.852,3,0
15087,México,Temoaya,3691,13722,1964,883,527,317,0.842,30,0
15088,México,Tenancingo,5158,22116,2531,1441,539,647,0.867,38,0
15089,México,Tenango del Aire,602,2632,326,162,58,56,0.816,4,0
15090,México,Tenango del Valle,5388,22455,2765,1387,625,611,0.857,40,0
15091,México,Teoloyucan,3753,16447,2018,1016,369,350,0.82,44,1
15092,México,Teotihuacán,4269,19176,1957,1272,455,585,0.887,45,0
15093,México,Tepetlaoxtoc,1220,5179,594,299,202,125,0.885,8,0
15094,México,Tepetlixpa,1087,4982,565,286,80,156,0.838,12,0
15095,México,Tepotzotlán,5280,44390,2574,1494,439,773,0.862,165,0
15096,México,Tequixquiac,2772,13234,1368,760,326,318,0.868,20,0
15097,México,Texcaltitlán,630,2442,345,144,58,83,0.832,4,0
15098,México,Texcalyacac,446,1706,197,116,69,64,0.922,2,0
15099,México,Texcoco,16115,86516,8017,4688,1316,2094,0.849,208,2
15100,México,Tezoyuca,3009,12586,1694,697,305,313,0.815,26,0
15101,México,Tianguistenco,5164,26023,2473,1383,728,580,0.885,51,0
15102,México,Timilpan,251,1942,124,72,30,25,0.859,3,0
15103,México,Tlalmanalco,2245,9218,1253,603,143,246,0.791,17,0
15104,México,Tlalnepantla de Baz,33393,274418,15488,10698,2934,4273,0.864,750,4
15105,México,Tlatlaya,377,1598,160,132,43,42,0.882,8,0
15106,México,Toluca,57141,394215,28459,16531,5752,6399,0.853,779,1
15107,México,Tonatico,951,3789,459,238,76,178,0.876,4,0
15108,México,Tultepec,7466,31036,3765,1999,773,929,0.86,74,1
15109,México,Tultitlán,22163,131908,11567,6195,1969,2432,0.832,308,0
15110,México,Valle de Bravo,3127,18982,1550,801,272,504,0.868,38,0
15111,México,Villa de Allende,602,2297,314,154,68,66,0.849,6,0
15112,México,Villa del Carbón,1618,7469,797,407,233,181,0.88,13,0
15113,México,Villa Guerrero,1969,8378,1024,539,151,255,0.834,20,0
15114,México,Villa Victoria,977,4979,573,241,68,95,0.772,7,0
15115,México,Xonacatlán,3415,12956,1839,909,337,330,0.822,20,0
15116,México,Zacazonapan,298,1720,146,86,26,40,0.859,2,0
15117,México,Zacualpan,440,2310,230,106,49,55,0.856,1,0
15118,México,Zinacantepec,8445,38610,4676,2069,848,852,0.818,61,0
15119,México,Zumpahuacán,549,1986,288,118,66,77,0.865,4,0
15120,México,Zumpango,12587,54922,6906,3219,1203,1259,0.817,127,0
15121,México,Cuautitlán Izcalli,23899,187470,10951,7738,1945,3265,0.865,435,1
15122,México,Valle de Chalco Solidaridad,20279,79497,10884,5364,1867,2164,0.825,111,0
15123,México,Luvianos,1102,4654,558,280,114,150,0.865,5,0
15124,México,San José del Rincón,817,3626,467,214,66,70,0.782,9,0
15125,México,Tonanitla,724,2610,345,191,88,100,0.89,4,0
