cp,n_estab,empleo,resiliencia,indicadoras
14438,165,621,0.856,0
14439,177,799,0.892,0
14440,167,589,0.862,0
14449,114,384,0.811,0
14450,2,6,0.5,0
14460,17,105,0.611,0
14470,135,493,0.763,0
14476,23,74,0.817,0
14479,81,273,0.852,0
14480,338,1384,0.765,0
14490,326,1136,0.841,0
14492,1,3,-0.0,0
14500,1941,8783,0.792,0
14520,4,12,0.75,0
14600,117,1404,0.814,0
14608,10,35,0.68,0
14609,1,3,-0.0,0
14610,120,3806,0.872,0
14620,70,487,0.855,0
14627,1,3,-0.0,0
14629,9,429,0.696,0
14630,79,696,0.862,0
14639,3,9,0.459,0
14640,494,1848,0.821,0
14643,57,176,0.829,0
14645,1,8,-0.0,0
14646,3,103,-0.0,0
14647,39,127,0.828,0
14648,5,20,-0.0,0
14650,661,5087,0.858,0
14651,1,3,-0.0,0
14653,30,107,0.94,0
14654,60,227,0.914,0
14655,29,102,0.799,0
14657,73,263,0.809,0
14658,7,38,0.689,0
14659,24,72,0.82,0
14700,1090,4158,0.817,0
14710,634,2572,0.852,0
14720,115,648,0.871,0
14723,2,6,-0.0,0
14729,6,18,-0.0,0
14730,45,135,0.647,0
14734,59,204,0.74,0
14735,308,1062,0.841,0
14737,16,147,0.649,0
14738,225,842,0.834,0
14739,156,571,0.74,0
14740,208,656,0.778,0
14747,5,20,0.485,0
14748,272,940,0.819,0
14749,46,153,0.845,0
14760,106,380,0.828,0
14763,9,32,0.382,0
14780,12,41,0.663,0
14790,2,6,-0.0,0
14830,2,23,-0.0,0
14900,159,580,0.75,0
14940,128,411,0.676,0
15000,1062,5160,0.842,0
15001,3,31,0.459,0
15004,1,20,-0.0,0
15010,379,1807,0.912,0
15020,529,2537,0.835,0
15034,5,15,0.485,0
15035,17,61,0.804,0
15070,34,146,0.654,0
15081,1,8,-0.0,0
15100,2797,9974,0.396,0
15120,19,298,0.861,0
15150,1,40,-0.0,0
15200,194,792,0.645,0
15210,321,1472,0.89,0
15220,230,1255,0.728,0
15221,11,50,0.968,0
15230,357,1308,0.881,0
15240,110,1080,0.832,0
15250,104,417,0.861,0
15260,13,54,0.88,0
15270,1433,5926,0.833,0
15280,85,679,0.912,0
15290,135,744,0.939,0
15300,1087,4819,0.818,0
15309,16,70,0.839,0
15310,691,2825,0.657,0
15320,44,517,0.703,0
15330,2,16,0.5,0
15340,35,194,0.841,0
15350,5,15,0.761,0
15360,3,31,0.792,0
15370,11,33,0.655,0
15380,3,423,0.459,0
15390,134,4339,0.753,0
15400,816,3297,0.843,0
15410,189,908,0.893,0
15420,70,387,0.837,0
15430,454,1871,0.829,0
15440,45,295,0.897,0
15450,28,84,0.864,0
15460,125,726,0.835,0
15470,3,9,0.459,0
15480,8,24,0.774,0
15500,739,4022,0.893,0
15510,783,6985,0.852,0
15520,676,10946,0.85,0
15521,1,400,-0.0,0
15530,2172,16637,0.869,0
15539,5,32,0.761,0
15540,116,1630,0.817,0
15550,16,117,0.962,0
15551,5,52,0.961,0
15560,34,102,0.799,0
15570,8,61,0.406,0
15600,416,1684,0.882,0
15610,279,1303,0.8,0
15620,548,14286,0.778,0
15621,1,3,-0.0,0
15624,1,3,-0.0,0
15626,1,400,-0.0,0
15628,1,8,-0.0,0
15629,1,3,-0.0,0
15630,435,1657,0.852,0
15634,2,6,-0.0,0
15640,426,1847,0.782,2
15650,3,26,0.459,0
15660,186,994,0.889,0
15670,726,2994,0.826,0
15680,143,1075,0.896,0
15690,9,143,0.676,0
15700,653,7987,0.903,0
15710,211,1625,0.715,0
15730,265,1259,0.835,0
15735,2,6,-0.0,0
15740,359,2065,0.829,1
15750,127,629,0.861,0
15800,1379,5073,0.446,0
15810,4919,18062,0.428,0
15820,244,2030,0.929,0
15830,113,1118,0.797,0
15840,69,392,0.911,0
15850,689,5009,0.804,0
15860,131,848,0.864,0
15870,19,133,0.716,0
15900,1428,12435,0.836,0
15902,1,3,-0.0,0
15910,1,175,-0.0,0
15940,2,6,-0.0,0
15960,245,7167,0.897,0
15970,242,1839,0.923,0
15980,30,377,0.855,0
15990,115,634,0.865,0
16000,436,2628,0.885,0
16001,1,75,-0.0,0
16010,378,2488,0.884,0
16016,11,33,0.838,0
16018,183,616,0.883,1
16019,1,20,-0.0,0
16020,696,6217,0.849,0
16029,253,1127,0.869,0
16030,675,6187,0.877,0
16034,184,1138,0.861,0
16035,701,2771,0.85,0
16036,1048,4703,0.39,0
16038,449,1845,0.849,0
16040,275,1560,0.82,0
16045,1,3,-0.0,0
16048,4,17,0.75,0
16050,618,3964,0.854,0
16058,46,221,0.812,0
16059,2,6,0.5,0
16060,80,333,0.794,0
16070,1878,7130,0.635,0
16080,227,1719,0.855,0
16083,14,52,0.761,0
16090,2751,14162,0.7,0
16095,91,278,0.173,0
16099,18,71,0.747,0
16100,423,1723,0.85,0
16200,648,3848,0.836,0
16208,11,33,0.747,0
16210,121,1594,0.925,0
16220,1,3,-0.0,0
16230,3,14,0.792,0
16240,113,354,0.757,0
16243,10,30,0.461,0
16247,5,15,0.361,0
16270,1,3,-0.0,0
16300,379,1676,0.792,0
16310,4,12,0.406,0
16320,23,123,0.575,0
16400,140,552,0.839,0
16410,20,65,0.639,0
16420,81,292,0.703,0
16428,23,69,0.456,0
16429,50,167,0.708,0
16430,35,127,0.769,0
16440,5,20,0.361,0
16443,2,16,-0.0,0
16450,506,2153,0.73,0
16459,329,1131,0.682,0
16470,1,3,-0.0,0
16500,884,3152,0.785,0
16520,10,47,0.785,0
16540,2,6,0.5,0
16600,1085,3915,0.809,0
16604,4,12,0.406,0
16605,36,108,0.764,0
16609,8,24,0.272,0
16610,574,2120,0.733,0
16616,9,27,0.382,0
16617,2,6,-0.0,0
16620,14,47,0.599,0
16623,23,69,0.483,0
16629,55,180,0.596,0
16630,62,425,0.869,0
16680,3,14,-0.0,0
16700,255,1492,0.854,0
16710,89,1314,0.908,0
16719,1,3,-0.0,0
16720,156,554,0.633,0
16730,186,635,0.808,0
16739,94,329,0.886,0
16740,105,457,0.878,0
16749,48,387,0.874,0
16750,463,1772,0.761,0
16770,73,273,0.861,0
16776,51,180,0.792,0
16780,361,1447,0.656,0
16785,5,15,0.361,0
16790,28,94,0.644,0
16797,36,203,0.749,0
16799,1,3,-0.0,0
16800,725,3977,0.817,0
16808,1,8,-0.0,0
16810,333,1129,0.757,0
16813,1,3,-0.0,0
16819,7,21,0.493,0
16830,1,3,-0.0,0
16840,60,180,0.643,0
16850,6,18,-0.0,0
16860,64,385,0.684,0
16870,23,69,0.464,0
16880,324,1284,0.765,0
16888,15,50,0.685,0
16889,49,157,0.784,0
16900,155,603,0.602,0
16910,37,111,0.541,0
17000,79,676,0.85,0
17200,11,33,0.895,0
17310,6,35,0.959,0
17550,128,462,0.645,0
17760,2,11,-0.0,0
18050,10,30,0.785,0
18800,5,20,0.361,0
19000,2,23,-0.0,0
19090,5,20,0.685,0
23000,2,28,-0.0,0
25790,1,3,-0.0,0
26100,1,75,-0.0,0
30700,1,3,-0.0,0
31000,1,3,-0.0,0
31700,1,20,-0.0,0
38100,1,3,-0.0,0
40100,1,75,-0.0,0
41100,1,3,-0.0,0
42082,1,400,-0.0,0
42800,1,175,-0.0,0
43600,1,3,-0.0,0
44190,1,3,-0.0,0
45000,1,3,-0.0,0
45620,1,20,-0.0,0
45654,1,20,-0.0,0
45659,1,8,-0.0,0
46900,1,3,-0.0,0
51090,1,400,-0.0,0
51200,1,175,-0.0,0
52280,1,20,-0.0,0
52604,1,175,-0.0,0
52764,2,6,-0.0,0
52765,1,20,-0.0,0
52900,1,8,-0.0,0
52926,1,20,-0.0,0
53125,1,3,-0.0,0
53370,3,406,0.459,0
53390,2,23,-0.0,0
53960,1,3,-0.0,0
54040,1,75,-0.0,0
54120,1,3,-0.0,0
54150,1,8,-0.0,0
54457,1,8,-0.0,0
54783,1,20,-0.0,0
54900,1,40,-0.0,0
55600,1,3,-0.0,0
56203,1,20,-0.0,0
56495,1,20,-0.0,0
56585,1,20,-0.0,0
56983,1,20,-0.0,0
57100,1,8,-0.0,0
60000,2,250,-0.0,0
60450,1,3,-0.0,0
60900,1,20,-0.0,0
60950,1,8,-0.0,0
62290,1,175,-0.0,0
63959,1,8,-0.0,0
66064,1,8,-0.0,0
66217,2,6,-0.0,0
66478,1,8,-0.0,0
67000,1,8,-0.0,0
68000,1,3,-0.0,0
70050,1,400,-0.0,0
70110,1,8,-0.0,0
70120,2,40,-0.0,0
71500,1,8,-0.0,0
72000,1,8,-0.0,0
72307,1,20,-0.0,0
72670,1,3,-0.0,0
73000,1,20,-0.0,0
74160,1,8,-0.0,0
74250,1,8,-0.0,0
75113,1,8,-0.0,0
76295,1,175,-0.0,0
76803,1,75,-0.0,0
77580,1,3,-0.0,0
78309,1,175,-0.0,0
81000,1,40,-0.0,0
81015,1,3,-0.0,0
88888,3,215,-0.0,0
89603,1,400,-0.0,0
90380,1,8,-0.0,0
91725,1,8,-0.0,0
92800,1,20,-0.0,0
94297,1,20,-0.0,0
94421,1,8,-0.0,0
94700,1,40,-0.0,0
96700,1,8,-0.0,0
97070,1,175,-0.0,0
97302,1,20,-0.0,0
99000,1,3,-0.0,0
99100,1,3,-0.0,0
