cp,n_estab,empleo,resiliencia,indicadoras
07209,112,402,0.855,0
07210,741,5945,0.796,0
07218,3,9,0.792,0
07220,224,726,0.755,0
07224,9,27,0.493,0
07230,1001,4243,0.848,0
07238,24,89,0.846,0
07239,196,1136,0.832,0
07240,162,679,0.837,0
07250,129,561,0.663,0
07258,1,3,-0.0,0
07259,20,77,0.234,0
07260,26,100,0.817,0
07264,1,175,-0.0,0
07268,142,884,0.856,0
07269,43,156,0.852,0
07270,114,1101,0.861,0
07274,1,8,-0.0,0
07279,142,1530,0.833,0
07280,524,2547,0.859,0
07290,360,1946,0.766,0
07300,1766,18338,0.782,0
07304,2,23,-0.0,0
07310,258,1027,0.751,0
07311,5,20,0.361,0
07320,267,3693,0.893,0
07323,3,9,0.459,0
07328,1,3,-0.0,0
07329,1,3,-0.0,0
07330,390,3823,0.879,0
07338,1,20,-0.0,0
07340,229,1735,0.795,0
07350,150,599,0.73,0
07359,18,81,0.731,0
07360,184,2917,0.876,0
07363,4,12,-0.0,0
07368,1,3,-0.0,0
07369,763,4507,0.829,0
07370,293,3827,0.876,0
07379,4,34,0.406,0
07380,388,2556,0.85,0
07400,368,1505,0.883,0
07410,468,1768,0.805,0
07420,1502,6853,0.828,0
07428,10,318,0.361,0
07430,125,466,0.853,0
07440,512,2128,0.842,0
07450,37,386,0.84,0
07455,2,60,0.5,0
07456,6,18,0.325,0
07457,2,6,-0.0,0
07458,1,3,-0.0,0
07459,1,3,-0.0,0
07460,631,7743,0.818,0
07461,2,6,-0.0,0
07469,403,1898,0.867,0
07470,68,2736,0.889,0
07480,165,1696,0.917,0
07490,1,175,-0.0,0
07500,614,3245,0.864,0
07501,1,40,-0.0,0
07509,48,161,0.71,0
07510,2159,8229,0.802,0
07511,1,3,-0.0,0
07520,337,2172,0.734,0
07530,910,3496,0.835,0
07535,1,8,-0.0,0
07540,124,630,0.829,0
07548,2,60,-0.0,0
07549,3,9,0.459,0
07550,914,4852,0.827,0
07560,177,820,0.838,0
07570,93,540,0.776,0
07579,9,42,0.718,0
07580,1102,5313,0.845,0
07590,4,12,0.406,0
07600,675,3096,0.876,0
07620,671,3326,0.844,0
07628,7,26,0.778,0
07630,134,1989,0.897,0
07639,13,39,0.763,0
07640,150,810,0.9,0
07650,206,778,0.803,0
07651,7,21,0.689,0
07660,5,15,0.361,0
07666,10,30,0.68,0
07670,509,1767,0.822,0
07680,56,200,0.808,0
07690,1,3,-0.0,0
07700,658,18072,0.931,0
07707,52,807,0.931,0
07708,20,316,0.77,0
07709,2,43,0.5,0
07710,19,525,0.87,0
07720,92,2243,0.947,0
07729,5,163,0.485,0
07730,583,3834,0.851,0
07738,53,2671,0.413,0
07739,14,81,0.765,0
07740,36,576,0.818,0
07750,383,4747,0.911,0
07754,25,129,0.953,0
07755,4,17,0.75,0
07760,665,12024,0.848,0
07770,472,1735,0.754,0
07777,1,175,-0.0,0
07780,459,2850,0.901,0
07788,27,157,0.917,0
07790,395,2065,0.829,0
07800,1121,5443,0.839,0
07801,1,3,-0.0,0
07810,490,2506,0.853,0
07818,4,86,0.75,0
07820,397,1939,0.869,0
07830,144,711,0.861,0
07831,1,3,-0.0,0
07838,149,526,0.878,0
07839,598,3138,0.87,0
07840,562,5709,0.863,0
07850,395,4705,0.823,0
07858,27,98,0.886,0
07859,69,263,0.822,0
07860,393,1938,0.793,0
07869,62,530,0.829,0
07870,1118,8511,0.905,0
07880,552,2104,0.774,0
07881,18,69,0.985,0
07889,81,352,0.759,0
07890,867,3267,0.861,0
07899,170,1304,0.935,0
07900,532,2112,0.847,0
07910,537,3164,0.836,0
07915,5,15,0.485,0
07918,550,2844,0.858,0
07920,152,1432,0.836,0
07927,1,8,-0.0,0
07930,47,207,0.865,0
07939,112,578,0.825,0
07940,93,584,0.764,0
07948,36,324,0.876,0
07950,585,4047,0.88,0
07960,204,791,0.913,0
07969,1243,6869,0.827,0
07970,436,2136,0.856,0
07979,576,3165,0.836,0
07980,182,2571,0.805,0
07981,1,20,-0.0,0
07989,2,6,0.5,0
07990,249,1365,0.818,0
07999,3,9,0.792,0
08000,1251,6905,0.762,0
08010,130,523,0.796,0
08020,282,1012,0.746,0
08021,1,3,-0.0,0
08030,126,733,0.84,0
08040,346,2560,0.871,0
08100,2773,20192,0.869,0
08200,587,5167,0.87,0
08210,191,888,0.839,0
08220,242,1868,0.907,0
08230,92,514,0.869,0
08231,1,75,-0.0,0
08240,110,909,0.86,0
08300,403,3892,0.94,0
08310,292,2483,0.841,0
08320,57,225,0.905,0
08400,1264,29322,0.969,0
08420,51,253,0.85,0
08450,1,75,-0.0,0
08500,4497,25804,0.866,0
08501,1,3,-0.0,0
08510,396,1515,0.873,0
08600,263,1281,0.953,0
08610,87,1274,0.943,0
08620,267,1566,0.844,0
08621,1,75,-0.0,0
08630,9,32,0.676,0
08650,297,1223,0.817,0
08700,325,1400,0.865,0
08710,106,541,0.9,0
08720,609,2111,0.696,0
08730,398,1699,0.84,0
08738,7,21,0.689,0
08760,60,461,0.862,0
08770,162,658,0.828,0
08800,194,1086,0.838,0
08810,210,1396,0.798,0
08822,1,20,-0.0,0
08830,343,1935,0.839,0
08840,109,553,0.824,0
08900,449,3227,0.82,0
08909,1,3,-0.0,0
08910,76,322,0.856,0
08920,38,192,0.861,0
08930,707,2846,0.826,0
08938,3,9,0.792,0
08954,1,20,-0.0,0
08960,1,20,-0.0,0
08990,10,35,0.761,0
09000,2868,16811,0.809,0
09004,1,20,-0.0,0
